0.4268398 , 1.455263  | in degrees: 1 | out degrees: 2 |
0.3416985 , 1.425269  | in degrees: 3 | out degrees: 2 |
0.2234539 , 1.225075  | in degrees: 2 | out degrees: 2 |
0.3026779 , 1.125529  | in degrees: 1 | out degrees: 2 |
0.702909 , 1.43305  | in degrees: 2 | out degrees: 2 |
0.7704912 , 1.377093  | in degrees: 3 | out degrees: 2 |
0.7755455 , 1.371682  | in degrees: 3 | out degrees: 2 |
0.8095224 , 1.456038  | in degrees: 1 | out degrees: 2 |
-0.05003588 , -1.152745  | in degrees: 2 | out degrees: 2 |
-0.1009582 , -1.17776  | in degrees: 1 | out degrees: 2 |
0.01343446 , -1.119414  | in degrees: 3 | out degrees: 2 |
-0.01399593 , -1.02046  | in degrees: 2 | out degrees: 2 |
0.03020935 , -0.9501517  | in degrees: 3 | out degrees: 2 |
-0.005557012 , -0.8470141  | in degrees: 1 | out degrees: 2 |
-0.09479869 , -0.7980135  | in degrees: 3 | out degrees: 2 |
-0.1575782 , -0.7928955  | in degrees: 4 | out degrees: 2 |
-0.1508925 , -0.7405468  | in degrees: 3 | out degrees: 2 |
-0.2432093 , -0.1521501  | in degrees: 1 | out degrees: 2 |
-0.2828926 , -0.1825014  | in degrees: 2 | out degrees: 2 |
-0.2919299 , -0.2900904  | in degrees: 3 | out degrees: 2 |
-0.3098101 , -0.3100219  | in degrees: 1 | out degrees: 2 |
-0.3948186 , -0.3629985  | in degrees: 3 | out degrees: 2 |
-0.4146569 , -0.3187245  | in degrees: 2 | out degrees: 2 |
-0.4232856 , -0.3057951  | in degrees: 3 | out degrees: 2 |
-1.912753 , 0.1073209  | in degrees: 1 | out degrees: 2 |
-2.020464 , 0.1760171  | in degrees: 2 | out degrees: 2 |
-2.009356 , 0.01528628  | in degrees: 5 | out degrees: 2 |
-2.047132 , -0.07796415  | in degrees: 2 | out degrees: 2 |
-2.073313 , -0.0651284  | in degrees: 3 | out degrees: 2 |
-0.706553 , -3.214142  | in degrees: 1 | out degrees: 2 |
-0.4690708 , -3.073479  | in degrees: 2 | out degrees: 2 |
-0.7503849 , -2.653558  | in degrees: 3 | out degrees: 2 |
-0.9312499 , -2.301822  | in degrees: 3 | out degrees: 2 |
-1.161845 , -2.203686  | in degrees: 2 | out degrees: 2 |
-1.338899 , -2.616441  | in degrees: 1 | out degrees: 2 |
0.8414274 , -1.615065  | in degrees: 4 | out degrees: 2 |
0.9652388 , -1.605055  | in degrees: 3 | out degrees: 2 |
1.023767 , -1.668598  | in degrees: 3 | out degrees: 2 |
0.6719239 , 0.2774378  | in degrees: 2 | out degrees: 2 |
0.6037702 , 0.2638636  | in degrees: 3 | out degrees: 2 |
0.63865 , 0.21448  | in degrees: 2 | out degrees: 2 |
0.1411034 , -2.550039  | in degrees: 0 | out degrees: 2 |
0.07024162 , -2.239378  | in degrees: 4 | out degrees: 2 |
0.09642173 , -1.998456  | in degrees: 2 | out degrees: 2 |
-0.02209634 , -2.003997  | in degrees: 4 | out degrees: 2 |
0.4131354 , -2.216424  | in degrees: 2 | out degrees: 2 |
0.703034 , -2.462899  | in degrees: 3 | out degrees: 2 |
1.244201 , -2.411101  | in degrees: 2 | out degrees: 2 |
1.362637 , -2.285306  | in degrees: 1 | out degrees: 2 |
-1.399073 , -1.46927  | in degrees: 1 | out degrees: 2 |
-1.506788 , -1.441835  | in degrees: 3 | out degrees: 2 |
-1.664337 , -1.644736  | in degrees: 2 | out degrees: 2 |
-1.56627 , -1.746218  | in degrees: 3 | out degrees: 2 |
-1.218562 , -1.555719  | in degrees: 2 | out degrees: 2 |
-1.147426 , -1.558705  | in degrees: 3 | out degrees: 2 |
-1.043402 , -1.600834  | in degrees: 3 | out degrees: 2 |
-0.8981322 , -1.671778  | in degrees: 1 | out degrees: 2 |
-0.09918609 , -0.299643  | in degrees: 1 | out degrees: 2 |
0.02629088 , -0.3476835  | in degrees: 3 | out degrees: 2 |
0.1019567 , -0.3699197  | in degrees: 1 | out degrees: 2 |
0.09212496 , -0.241289  | in degrees: 2 | out degrees: 2 |
0.1916632 , -0.248558  | in degrees: 3 | out degrees: 2 |
0.234072 , -0.2531096  | in degrees: 3 | out degrees: 2 |
0.2421911 , -0.3289273  | in degrees: 2 | out degrees: 2 |
-0.05257751 , -0.1626385  | in degrees: 2 | out degrees: 2 |
-0.06192761 , -0.1327482  | in degrees: 1 | out degrees: 2 |
0.05597879 , -0.02176826  | in degrees: 2 | out degrees: 2 |
0.04396449 , 0.001612071  | in degrees: 3 | out degrees: 2 |
0.02352312 , 0.06048976  | in degrees: 4 | out degrees: 2 |
0.07153884 , 0.08799794  | in degrees: 1 | out degrees: 2 |
0.2538683 , -0.7751508  | in degrees: 2 | out degrees: 2 |
0.3132001 , -0.8216614  | in degrees: 4 | out degrees: 2 |
0.332212 , -0.7909408  | in degrees: 4 | out degrees: 2 |
0.1438228 , 0.7719849  | in degrees: 0 | out degrees: 2 |
0.1673425 , 0.6944293  | in degrees: 6 | out degrees: 2 |
0.2024936 , 0.7030176  | in degrees: 4 | out degrees: 2 |
0.2110312 , 0.6642837  | in degrees: 3 | out degrees: 2 |
-0.07131543 , -0.5344655  | in degrees: 1 | out degrees: 2 |
-0.05271379 , -0.5404156  | in degrees: 2 | out degrees: 2 |
-0.002107942 , -0.4941989  | in degrees: 4 | out degrees: 2 |
0.06515139 , -0.510522  | in degrees: 3 | out degrees: 2 |
0.05922565 , -0.5873418  | in degrees: 1 | out degrees: 2 |
-1.41568 , 0.137293  | in degrees: 3 | out degrees: 2 |
-1.29616 , 0.0824385  | in degrees: 1 | out degrees: 2 |
-1.297957 , 0.2760091  | in degrees: 3 | out degrees: 2 |
-1.383403 , 0.4374014  | in degrees: 4 | out degrees: 2 |
-1.544457 , 0.3056335  | in degrees: 2 | out degrees: 2 |
0.1954182 , -0.544478  | in degrees: 1 | out degrees: 2 |
0.2319488 , -0.5002611  | in degrees: 1 | out degrees: 2 |
0.3232187 , -0.4078883  | in degrees: 3 | out degrees: 2 |
0.3643196 , -0.4762253  | in degrees: 4 | out degrees: 2 |
0.3744949 , -0.5197328  | in degrees: 2 | out degrees: 2 |
0.4186499 , -0.5564707  | in degrees: 3 | out degrees: 2 |
0.4045276 , -0.3778922  | in degrees: 1 | out degrees: 2 |
2.045299 , 0.3393328  | in degrees: 3 | out degrees: 2 |
2.251682 , 0.2988525  | in degrees: 2 | out degrees: 2 |
2.449584 , 0.03908291  | in degrees: 2 | out degrees: 2 |
1.837629 , 0.4764719  | in degrees: 2 | out degrees: 2 |
1.62707 , 0.3295152  | in degrees: 2 | out degrees: 2 |
1.583306 , 0.1995878  | in degrees: 3 | out degrees: 2 |
1.48657 , -0.01119533  | in degrees: 2 | out degrees: 2 |
1.517092 , -0.04123572  | in degrees: 2 | out degrees: 2 |
1.537721 , -0.2747408  | in degrees: 3 | out degrees: 2 |
1.480261 , -0.2914191  | in degrees: 2 | out degrees: 2 |
1.440409 , -0.3202026  | in degrees: 4 | out degrees: 2 |
-0.6912209 , 2.668526  | in degrees: 1 | out degrees: 2 |
-0.7664718 , 2.895956  | in degrees: 1 | out degrees: 2 |
-0.2237313 , 2.694958  | in degrees: 4 | out degrees: 2 |
0.008346265 , 2.353054  | in degrees: 2 | out degrees: 2 |
-0.1986189 , 2.237781  | in degrees: 3 | out degrees: 2 |
-0.4222052 , 2.233824  | in degrees: 1 | out degrees: 2 |
-0.2829352 , 1.819441  | in degrees: 3 | out degrees: 2 |
-0.1886993 , 1.790361  | in degrees: 4 | out degrees: 2 |
-0.3393102 , 1.731669  | in degrees: 2 | out degrees: 2 |
1.450109 , 1.700731  | in degrees: 2 | out degrees: 2 |
1.368496 , 1.821916  | in degrees: 2 | out degrees: 2 |
1.39828 , 2.089174  | in degrees: 2 | out degrees: 2 |
1.14054 , 1.558193  | in degrees: 1 | out degrees: 2 |
1.037692 , 1.379998  | in degrees: 3 | out degrees: 2 |
1.05243 , 1.225522  | in degrees: 3 | out degrees: 2 |
1.229365 , 1.310544  | in degrees: 4 | out degrees: 2 |
-0.1589493 , -0.6453321  | in degrees: 2 | out degrees: 2 |
-0.07757258 , -0.6452465  | in degrees: 2 | out degrees: 2 |
-0.07596113 , -0.651859  | in degrees: 2 | out degrees: 2 |
